Rank,Scientist,Field of Study,Era/Century,Key Contribution(s)
30,Hippocrates,Medicine,5th – 4th Century BC,"Father of Western Medicine,' established medicine as a profession, Hippocratic Oath."
31,Euclid,Mathematics,3rd Century BC,"Father of Geometry,' authored Elements, the foundational text for geometry."
32,William Harvey,"Medicine, Physiology",17th Century,First person to correctly describe in detail the circulation of blood in the body.
33,Antonie van Leeuwenhoek,Microbiology,17th Century,"Father of Microbiology,' first to observe single-celled organisms (microbes)."
34,John Dalton,"Chemistry, Physics",18th – 19th Century,"Pioneered the modern atomic theory, work on color blindness (Daltonism)."
35,Alessandro Volta,Physics,18th – 19th Century,Invented the electric battery (Voltaic Pile).
36,Carl Friedrich Gauss,"Mathematics, Physics",18th – 19th Century,"Contributed to number theory, statistics, and electromagnetism."
37,Avicenna (Ibn Sina),"Medicine, Philosophy",10th – 11th Century,"Authored The Canon of Medicine, a key medical text for centuries."
38,Christiaan Huygens,"Physics, Astronomy",17th Century,"Proposed the wave theory of light, invented the pendulum clock, discovered Saturn's moon Titan."
39,J.J. Thomson,Physics,19th – 20th Century,Discovered the electron using the cathode ray tube experiment.
40,Paul Dirac,Theoretical Physics,20th Century,"Predicted the existence of antimatter (the positron), unified quantum mechanics and special relativity."
41,Enrico Fermi,Physics,20th Century,"Created the world's first nuclear reactor, 'Architect of the Nuclear Age'."
42,Rita Levi-Montalcini,Neurobiology,20th – 21st Century,Co-discovered Nerve Growth Factor (NGF).
43,Stephen Hawking,"Cosmology, Physics",20th – 21st Century,"Theories on black holes, including the emission of Hawking radiation, and cosmology."
44,Alfred Wegener,"Geophysics, Meteorology",20th Century,Proposed the theory of Continental Drift.
45,George Washington Carver,"Agriculture, Botany",19th – 20th Century,Pioneered crop rotation and developed hundreds of uses for crops like peanuts and sweet potatoes.
46,Wilhelm Röntgen,Physics,19th Century,Discovered X-rays (Röntgen rays).
47,Edward Jenner,Medicine,18th Century,Pioneered the world's first vaccine (for smallpox).
48,Rachel Carson,"Marine Biology, Ecology",20th Century,"Authored Silent Spring, highlighting the dangers of pesticides and launching the modern environmental movement."
49,Andrey Kolmogorov,Mathematics,20th Century,"Fundamental contributions to probability theory, topology, and turbulence."
50,Tim Berners-Lee,Computer Science,20th – 21st Century,Inventor of the World Wide Web (WWW).
